,Title,Gross,Max_Theaters,Opening_Weekend_Theaters,Opening_Weekend_Gross,Opening_Weekend_Percent_of_Gross,Distributor,Genres,Rating,Runtime,Date
0,The Woman in Black 2: Angel of Death,26501323.0,2602,2602,15027415.0,56.7,Relativity Media,"['Drama', 'Horror', 'Thriller']",PG-13,98,2015-01-02
1,The Search for General Tso,54275.0,13,2,9336.0,17.2,IFC Films,"['Comedy', 'Documentary', 'History', 'Mystery']",,71,2015-01-02
2,The Taking of Tiger Mountain,228984.0,13,7,50621.0,22.1,Well Go USA Entertainment,"['Action', 'Adventure', 'Biography', 'History', 'War']",,141,2015-01-02
3,Li'l Quinquin,7192.0,2,1,3204.0,44.5,Kino Lorber,"['Comedy', 'Crime', 'Mystery']",,206,2015-01-02
4,Trace Amounts,80735.0,7,0,0.0,0.0,GathrFilms,"['Adventure', 'Documentary', 'Drama', 'History']",,97,2015-01-02
5,[REC] 4: Apocalypse,837.0,5,5,708.0,84.6,Magnolia Pictures,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi', 'Thriller']",R,95,2015-01-02
6,"Farewell, Herr Schwarz",4445.0,2,0,0.0,0.0,Kino Lorber,['Documentary'],,96,2015-01-09
7,Black November,5782.0,0,0,0.0,0.0,Phase 4 Films,"['Action', 'Crime', 'Drama', 'Thriller']",,95,2015-01-09
8,Predestination,68372.0,20,20,44028.0,64.4,Vertical Entertainment,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",R,97,2015-01-09
9,Human Capital,158549.0,11,6,21669.0,13.7,Film Movement,"['Crime', 'Drama']",,111,2015-01-09
10,Taken 3,89256424.0,3594,3594,39201657.0,43.9,Twentieth Century Fox,"['Action', 'Thriller']",PG-13,108,2015-01-09
11,Tevar,236002.0,127,127,171026.0,72.5,Eros International,"['Action', 'Drama', 'Romance', 'Thriller']",,157,2015-01-09
12,It's All So Quiet2015 Re-release,724.0,1,1,362.0,50.0,Big World Pictures,['Drama'],,93,2015-01-09
13,Beloved Sisters,54030.0,9,9,19704.0,36.5,Music Box Films,"['Drama', 'History', 'Romance']",,138,2015-01-09
14,I,1449232.0,222,222,771312.0,53.2,Aascar Film,"['Action', 'Drama', 'Thriller']",,188,2015-01-13
15,Match2015 Re-release,37285.0,9,3,6000.0,16.1,IFC Films,"['Comedy', 'Drama']",R,92,2015-01-14
16,The Wedding Ringer,64460211.0,3003,3003,20649306.0,32.0,Screen Gems,['Comedy'],R,101,2015-01-16
17,Little Accidents,10071.0,17,17,8649.0,85.9,Amplify,['Drama'],,105,2015-01-16
18,Paddington,76271832.0,3355,3303,18966676.0,24.9,-,"['Adventure', 'Comedy', 'Family', 'Fantasy']",PG,95,2015-01-16
19,Miss Granny,234573.0,13,13,92827.0,39.6,CJ Entertainment,"['Comedy', 'Fantasy', 'Music']",,131,2015-01-16
20,Medeas,5895.0,2,1,3025.0,51.3,The Vladar Company,['Drama'],,97,2015-01-16
21,Spare Parts,3618912.0,440,440,1335768.0,36.9,Lionsgate,['Drama'],PG-13,114,2015-01-16
22,Still Life,9481.0,5,0,0.0,0.0,Tribeca Film,['Drama'],,92,2015-01-16
23,Blackhat,8005980.0,2568,2567,3901815.0,48.7,Universal Pictures,"['Action', 'Crime', 'Thriller']",R,133,2015-01-16
24,Three Night Stand,4076.0,10,10,2538.0,62.3,Freestyle Releasing,"['Comedy', 'Drama']",,86,2015-01-16
25,Still Alice,18754371.0,1318,12,197000.0,1.1,Sony Pictures Classics,['Drama'],PG-13,101,2015-01-16
26,Appropriate Behavior,46912.0,11,11,19114.0,40.7,Gravitas Ventures,"['Comedy', 'Drama', 'Romance']",,86,2015-01-16
27,Patterns of Evidence: Exodus,925576.0,652,652,764309.0,82.6,Thinking Man Films,"['Documentary', 'History']",,115,2015-01-19
28,Song One,32251.0,27,27,20200.0,62.6,The Film Arcade,"['Drama', 'Music']",PG-13,86,2015-01-23
29,Cake,1951776.0,482,482,916179.0,46.9,Cinelou Films,['Drama'],R,102,2015-01-23
30,The Duke of Burgundy,64521.0,10,3,11902.0,18.4,IFC Films,"['Drama', 'Mystery', 'Romance', 'Thriller']",,104,2015-01-23
31,Red Army,694600.0,84,3,20100.0,2.9,Sony Pictures Classics,"['Biography', 'Documentary', 'History', 'Sport']",PG,84,2015-01-23
32,Big Muddy,881.0,3,2,147.0,16.7,Monterey Media,"['Crime', 'Drama', 'Western']",R,104,2015-01-23
33,Mortdecai,7696134.0,2648,2648,4200586.0,54.6,Lionsgate,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery']",R,107,2015-01-23
34,R100,24956.0,11,10,7263.0,29.1,Drafthouse Films,"['Comedy', 'Drama']",,99,2015-01-23
35,Americons,28782.0,14,14,14404.0,50.0,-,"['Action', 'Biography', 'Crime', 'Drama']",R,89,2015-01-23
36,Black Sea,1171559.0,353,5,37675.0,3.2,Focus Features,"['Adventure', 'Drama', 'Thriller']",R,114,2015-01-23
37,Salvation Army,3929.0,1,1,2433.0,61.9,Strand Releasing,['Drama'],,81,2015-01-23
38,Against the Sun,4646.0,11,11,3023.0,65.1,The American Film Company,"['Biography', 'Drama', 'War']",PG,100,2015-01-23
39,Miss Hill: Making Dance Matter,4706.0,1,1,2560.0,54.4,First Run,"['Biography', 'Documentary', 'History']",,84,2015-01-23
40,Strange Magic,12429583.0,3020,3020,5504441.0,44.3,-,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",PG,99,2015-01-23
41,The Boy Next Door,35423380.0,2615,2602,14910105.0,42.1,Universal Pictures,"['Horror', 'Thriller']",R,91,2015-01-23
42,Love Forecast,32211.0,1,1,11600.0,36.0,CJ Entertainment,"['Comedy', 'Drama', 'Romance']",,118,2015-01-23
43,Timbuktu,1076075.0,56,4,45110.0,4.2,Cohen Media Group,"['Drama', 'War']",PG-13,96,2015-01-28
44,Hard to Be a God,28608.0,3,0,0.0,0.0,Kino Lorber,"['Drama', 'Sci-Fi']",,177,2015-01-30
45,Girlhood,60765.0,5,2,7667.0,12.6,Strand Releasing,['Drama'],,113,2015-01-30
46,Game of Thrones Season 4 Finale,1896092.0,205,205,1464932.0,77.3,Warner Bros.,,,116,2015-01-30
